Title,Category,Type,Description,Price,Bundle Group,Subscription Eligible
"Weekly Moon Guide","Moon Phases","Mini Pack","Programmatically generated lunar overview with rituals for each week.","1.99","Lunar Series",TRUE
"Monthly Moon Phases Pack","Moon Phases","Mini Pack","Complete monthly moon calendar with reflection prompts.","2.49","Lunar Series",TRUE
"Moon Spell Pack","Spells","Mini Pack","Simple rituals aligned to the current lunar cycle.","1.99","Spell Series",TRUE
"Protection Spell Pack","Spells","Mini Pack","Digital guide of cleansing and protective rituals.","2.49","Spell Series",TRUE
"Courage Spell Pack","Spells","Mini Pack","Confidence and bravery-focused rituals and affirmations.","2.49","Spell Series",TRUE
"Love Spell Pack","Spells","Mini Pack","Heart-opening rituals for self-love and relationships.","2.49","Spell Series",TRUE
"Prosperity Spell Pack","Spells","Mini Pack","Abundance and manifestation rituals with moon timing.","2.49","Spell Series",TRUE
"Healing Crystal Pack","Crystals","Mini Pack","Properties and uses of healing stones with printable reference cards.","1.99","Crystal Series",TRUE
"Grounding Crystal Pack","Crystals","Mini Pack","Stones and practices for stability and balance.","1.99","Crystal Series",TRUE
"Prosperity Crystal Pack","Crystals","Mini Pack","Abundance and manifestation crystals with affirmations.","2.49","Crystal Series",TRUE
"Chakra Crystal Pack","Crystals","Mini Pack","Seven chakra stones with alignment practices.","2.49","Crystal Series",TRUE
"Daily Tarot Reflection","Tarot","Mini Pack","Daily draw meanings and journaling prompts.","1.99","Tarot Series",TRUE
"Major Arcana Meanings","Tarot","Extended Guide","Detailed symbolism and upright/reversed meanings.","7.99","Tarot Series",TRUE
"Minor Arcana Guide","Tarot","Extended Guide","Complete guide to suits, numbers, and court cards.","7.99","Tarot Series",TRUE
"Tarot Spread Collection","Tarot","Mini Pack","10 powerful spreads for different life situations.","2.49","Tarot Series",TRUE
"Planetary Transits Guide","Astrology","Extended Guide","Current planetary positions explained with personal insights.","7.99","Astrology Series",TRUE
"Rising Sign Mini Report","Astrology","Mini Pack","Concise guide to understanding your rising sign.","2.49","Astrology Series",TRUE
"Mercury Retrograde Survival Kit","Astrology","Mini Pack","Communication tips and reflection rituals for retrograde season.","2.49","Astrology Series",TRUE
"Planetary Day Magic","Astrology","Mini Pack","Daily magical correspondences for each day of the week.","1.99","Astrology Series",TRUE
"Imbolc Rituals","Seasonal","Mini Pack","Early spring renewal rituals and correspondences.","1.99","Wheel of the Year",TRUE
"Ostara Rituals","Seasonal","Mini Pack","Spring equinox balance and growth ceremonies.","1.99","Wheel of the Year",TRUE
"Beltane Rituals","Seasonal","Mini Pack","Love, passion, and creative-fire practices for Beltane.","1.99","Wheel of the Year",TRUE
"Litha Rituals","Seasonal","Mini Pack","Summer solstice celebration and solar power rituals.","1.99","Wheel of the Year",TRUE
"Lammas Rituals","Seasonal","Mini Pack","First harvest gratitude and abundance ceremonies.","1.99","Wheel of the Year",TRUE
"Mabon Rituals","Seasonal","Mini Pack","Autumn equinox balance and harvest reflection.","1.99","Wheel of the Year",TRUE
"Samhain Rituals","Seasonal","Mini Pack","Ancestral connection and protection spells for Samhain.","1.99","Wheel of the Year",TRUE
"Yule Rituals","Seasonal","Mini Pack","Winter solstice celebration and reflection guide.","1.99","Wheel of the Year",TRUE
"Spell Trio Bundle","Spells","Bundle","Three themed spell packs: moon, courage, protection.","4.99","Spell Series",TRUE
"Crystal Healing Bundle","Crystals","Bundle","Set of three crystal packs covering healing, grounding, prosperity.","4.99","Crystal Series",TRUE
"Lunar Month Kit","Moon Phases","Bundle","Four weekly moon guides with rituals and affirmations.","4.99","Lunar Series",TRUE
"Tarot Mastery Bundle","Tarot","Bundle","Daily reflections, spreads, and Major Arcana guide.","4.99","Tarot Series",TRUE
"Planetary Magic Bundle","Astrology","Bundle","Planetary days, Mercury retrograde kit, and rising sign guide.","4.99","Astrology Series",TRUE
"Wheel of the Year Set","Seasonal","Bundle","All eight sabbat guides in one download.","5.99","Wheel of the Year",TRUE
"Creator's Circle Subscription","All","Subscription","Monthly access to every new digital pack and early releases.","3.99/month","All Access",TRUE
"Annual All-Access Vault","All","Annual Pass","One-time purchase unlocking all packs for a full year.","24.99","All Access",FALSE
